date,ticker,shares_outstanding,nav,flow_daily,as_of_date
2018-01-03,SPY,1008082000.0,270.489,-1666392600.0,2018-01-03
2018-01-04,SPY,1005782000.0,271.635,-622124700.0,2018-01-04
2018-01-05,SPY,1000082000.0,273.541,-1548319500.0,2018-01-05
2018-01-08,SPY,1008982000.0,273.999,2434514900.0,2018-01-08
2018-01-09,SPY,1004782000.0,274.439,-1150795800.0,2018-01-09
2018-01-10,SPY,1017982000.0,274.137,3622594800.0,2018-01-10
2018-01-11,SPY,1028482000.0,276.085,2878438500.0,2018-01-11
2018-01-12,SPY,1022732000.0,277.945,-1587488750.0,2018-01-12
2018-01-17,SPY,1045882000.0,279.574,6647304000.0,2018-01-17
2018-01-18,SPY,1041882000.0,279.147,-1118296000.0,2018-01-18
2018-01-19,SPY,1053182000.0,280.375,3154361100.0,2018-01-19
2018-01-22,SPY,1061882000.0,282.638,2439262500.0,2018-01-22
2018-01-23,SPY,1070532000.0,283.262,2444818700.0,2018-01-23
2018-01-24,SPY,1067882000.0,283.103,-750644300.0,2018-01-24
2018-01-25,SPY,1069232000.0,283.273,382189050.0,2018-01-25
2018-01-26,SPY,1058532000.0,286.627,-3031021100.0,2018-01-26
2018-01-29,SPY,1073632000.0,284.718,4328067700.0,2018-01-29
2018-01-30,SPY,1088332000.0,281.638,4185354600.0,2018-01-30
2018-01-31,SPY,1088632000.0,281.78,84491400.0,2018-01-31
2018-01-02,SPY,1014282000.0,266.552,-1044907500.0,2017-12-29
2018-01-16,SPY,1021882000.0,277.945,-234672250.0,2018-01-12
